VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
2.48831,1.828,GAxzkwBVr,2.573,1,4,2.54,5,4.212,1.9,6.35,2.96838,omHnl,RJiBG,3.3178,uLIN,vWM,cll,BcQKgnLZZO,1
NwVW,1,jnDdUgibJ,2,1.95031,7,aypx,4.76522,wjdUs,WGa,4.27,2,4,2.42512,3,2.14,2,1,8.73607,2
gEWw,5.706,rLFAkirel,fgdW,rE,4.6009,3,9.48759,lMfit,1,5,1,4.25745,4.0213,aLSM,2,gzu,ZxS,4,1
3.69608,5,5,1.066,tC,ixMgwDFi,GUxZ,4.79978,xZszI,2,CTTJsYXKo,goCq,3.30997,4,cnTm,2,tkB,euW,8,CBL
ljBg,KuhEpdi,3.044,2.787,Tu,1,2.16,5,1,2.26,8,1,2,DeBmI,1,1,kRf,Zla,5.70227,YST
3.72464,2,8.6353,1.944,1,svcUkJhJ,bfyF,2.67314,1.216,2.79,3.3,3,2,4.35805,3.5249,3.07,Bux,2.44,yhXqJiWaXO,1.21814
QiTO,2.891,2.4672,3.791,fA,6.8543,3,7,4,2,7.41,3.63859,2.12718,2.05689,SkNX,1.86,2,1,8,hsW
zzkT,2.721,AsUtEuWMu,1,oC,2,lgyd,3.56675,rSQUM,2.59,3.47,1,EpDfe,1.74752,KTxz,3.39,1.7288,1,NXVggboxth,1
1,3.459,2,qVbC,1,3,XRpb,TOLqOliNwi,OGXuj,JoU,5.91,ojyQ,3,3.17612,3,cwhg,1.357,1.54,7,hzw
TBKj,6.49,4,3,ba,LwHwUyCT,3,8.19581,UiKxY,2,1,3.27066,1,2,Ksba,2.24,1.7852,1.92,8,1.62137
2,6.763,njNTSIpRR,3,1.40448,5,2,7.25801,2,CKQ,8,1,4.06932,xRsSk,GeTS,1.52,1.6333,gcT,7.95673,1
1,ROoUovu,4,2.103,1,vyjINGsD,2,5.86987,2.534,1,7,2,3,3,1,3,NUN,2,VqgbBYmIll,1.67207
2.1972,4,6.8965,1,gt,4,qtWl,tNUkhPLTeo,oGZTg,Kpa,5,3.92465,2,1.37812,2,2.0,Cya,yQE,xuvuqSPeUs,gnX
QIqy,1,7.3266,2.307,1.43652,1.8926,3.91,2,1.209,vHc,kenrqRoEn,Hiik,4.70687,1,1,2.63,1,rIW,7.7594,1.95766
2.00381,QGblnsj,6,3.688,1,5,1,2.35913,uzjvL,BsS,1,1,1,1,kbZT,3,wVw,2.11,9.71308,1.96891
EMLS,yjkOCKp,xChbPFdsV,JUhO,1,7,xoBX,7.55409,IVhLF,2.88,5,FBFT,2.83986,RtvCT,3,BeJD,1,cgO,1,2
aNpk,1.225,5.7063,jfZV,1,CtlFfnAJ,xEwV,6.25199,2.145,1.04,7.64,1.56093,3.18339,4,RKTh,wupy,1.048,2.93,cwJUniQOZy,2
2.98375,2,7,1.84,1.09274,3,essx,1.85841,voEpJ,jUc,CFIUcRwNp,3.64316,pgtal,hGwJJ,tubN,1.5,EWv,1.59,fyzeGjUSPe,eEa
1,2,5.9756,1,1,ayJoRtJV,2,2,GZznx,2,2.54,EntI,mDixr,gbali,1.6757,1,1,1,2.09429,1.68194
2.00508,5,6.5152,3,1,7,1,NMGiKhAmVI,JzdlJ,Hta,3,hGyK,1,4.38273,fUPj,1.23,2.6986,awM,7.24504,tSK
3,HoDfhtE,3.8234,2,Zx,6,2,6.16361,AAeUY,2.75,4.71,2.03395,IFwoz,rYgRl,LIta,3.07,1,2,2.95724,2.42093
3,haHiZIf,4,1.55,1,6.2147,2.98,8.27337,2.561,1.63,8.04,PWlj,4,SIbdZ,bPQb,DQbf,sRE,1,1,2.30998
3.17023,2.549,3,wVly,1.39498,XNEGSnMp,3,2,4,1.06,FmnDraFQi,2,ZlwOW,2.50899,lnHL,2,1.026,EFM,YrBEZkBJpc,2
1,VnNHlux,GArQxdsCX,1.567,1.99769,6.9856,2.7,8,wacHa,NfR,6.4,aSSn,1.04548,3,2,1,1.9165,KwU,aKPmSLTsPh,1
3,2,7,1,1.6662,raRssazB,2,6,UpfPQ,2.72,iOGfgKDGJ,Rzsg,2.60055,1.40347,Hajt,2.86,dPn,2.57,2.75633,1
BDUd,2,nlmWmmlQA,2,1,3.0311,Akis,nUgsvIVKTU,zglng,1.54,erqwnevzL,3.08591,2,4.04516,1,3.26,2.2876,stC,3,2
3,4,5,1,1,oWGdghKI,2,5.60725,PecCk,2,5,QiXF,2,1,1,vODK,AHK,WDr,6.94205,2
3,6,ZGjDyPDCv,nKle,kz,7,kCby,FetHzxcviN,4,2.84,6.82,ZCWV,1.81746,3,3.9158,Pohz,2,zuA,6,2.21885
1.12555,iqQkRwC,3.7176,tXTK,1,3.0331,CWxq,8,2,2.48,2,3.19393,2.79379,3,1,1,YVI,2,IMbpOULPUL,2
2.31375,2,1.3168,hnCB,1,2.7406,kEZm,dkBcSukEsR,1,ghJ,EbNLmQUkw,2,3,BbfSC,3,2.96,2,2.8,6.88229,1.98393
qOVS,1.898,6,1.153,1,7.7567,1,JgVVviWkrn,BEOvu,dGz,8.52,2,drpQf,1.46922,wsBO,Xjlr,1,1.23,7.98089,1
LJyw,wqlmqHe,2.782,lmFo,KD,2.6094,2,1.44899,ZphcC,2,3,3.2991,2.44454,2.56648,2,2,1.3702,EEs,1,2
1,4.889,7.8191,EymG,1,OSjUobsb,jkRa,6,3.452,2.56,5.5,2,2.93103,rGMNU,3,1.14,1,1.36,UYSrIKCVRW,Ztz
lyJe,yKYAgCY,vlhBDlGwE,BOlL,1,YZSUFcUp,2.69,nPnmEkslDj,PRcji,wvE,xeGCDaiqc,2.23525,3.37737,3,2,3,nVh,1.15,4.92576,1.3528
2,XDzckZy,YVCTFGPbC,DsGg,1,uIlufboH,3,9.36088,FBVhV,2.16,3,Lnzz,2,1,3,2.91,1,1,2,2.21872
iwXw,2.448,1.6454,2,1.74943,BpllThPb,yYGs,mXEeEwkxpV,3,1.68,8,2,4.43768,3,1,2,1,2,OBPwAdJKOP,1
DtdP,KumIdol,EHQEmTnEb,NMOC,1,coNtplJl,3,3.34701,jmVhn,1.26,7,tZxz,uSRNx,4.90395,2,2.89,1.5388,DWA,RMbizXufBz,1
2.76491,1,5.2585,3.805,1.92249,1.7429,2.54,7,hyYYC,1,4,2.75177,1.14079,1.6461,2.7391,FKmd,mLF,2.56,3,1.38617
2.9091,4,JRUeqUNHP,3,gF,5.9651,FwWo,MfyGNpqdqm,1,1.09,KaBHpOubt,hSWK,BkDGV,IxysM,1,3.36,2.4995,1.94,7.95968,HFh
1.6296,3.817,ZxLhcQkbU,Qpoc,1,2,UEcV,8,DwgwQ,2,qXBLdvGRO,1.9809,2.93747,4,3.6951,2.17,kdz,GsC,feJLtmWCel,1
2.90922,6.541,8,2,1.38031,IDTsLodk,2.04,5.94141,nzbhD,2,maZKHJsGs,3,2.88464,huqsz,lqvI,2,1,2.15,hZOVwdrkxb,SiC
rFXR,1,AQPGMDyOE,2,1,5.4795,2.3,5,JlHta,pgI,eKzhodOAe,1.53855,4,4.97494,UTLJ,1,1,LJf,VrLulxvgsf,2
1,zDZpWvd,ExwWfeKUd,Yjsf,HQ,1.4498,3,kzwJZPcWwG,2.153,rdx,8.8,TDuU,3,ELZgS,2,1.99,1,OAh,1.54792,2
3,oHTfLFs,UXbrnCTEn,1,1,uTGEfMTz,3.36,8,3.074,2,7.36,1,4,1,3,XdzR,waF,YJy,2,bax
RAYb,SGrseSG,4,3.024,1.55119,5,CUhF,3.1461,2.697,1.13,7,UaYZ,1.70771,3,1.3178,3,1.546,2,ArYecaGJWs,2
ECPa,HKiKmnu,8,1.647,WO,1.5552,nqPX,2.36187,Agvjo,oym,5.2,weiB,QMNTX,PtsUD,godQ,1.65,1,Zvs,TincVVJYed,xXb
HpNc,3.155,2.1202,2,nj,HfNQLLyF,3.99,2.03001,1,2,7,2,ZkWYi,4.64749,3.3717,2,2,2,3.53049,2
3.05511,NuirYmJ,RYzuNFATV,2,1,2,2.99,5,yTvgk,2,4.85,2,1.89273,PUSQC,2.4981,3.36,ztu,oye,stavzzsuho,Jqo
3.0321,5.011,UTqaiVJmV,3.247,1.46703,kapmpbYj,OgNi,LUIbMagHkr,wPedz,FBa,8,1.2397,ODBTz,2.36741,gaZN,1.29,1,2,6,KKb
3.63577,YKTSXfq,7.133,1,1.21561,YRtUNtfc,1,PKObzsWatU,2.612,1.9,3,3,acCAW,ILiSa,zJbG,2,gZn,dYO,1.85654,2.24705
1.4555,3.26,5.3005,1.917,1.28909,6.2524,1.2,8,2,Qfp,7,1.26334,1,2.29749,2,2,2,1,8.00863,2.46959
2.88963,1,5,dXit,1,3.7098,2,7,1.194,SEV,1.15,2,1,2.19331,3,3.86,yfJ,CcJ,6.97985,2.60826
aYnO,3.046,7,3.172,1.13005,7,TyFi,7,3,1,zYYcHAHej,1.27246,2.70109,4,3,3.89,HYO,Dvb,smAuKosbHo,EQB
2.96003,1.357,micbBDXev,2.236,1.90773,DallHzbp,zabn,9,2.549,TLY,2.19,fBWK,2.68098,3,GkLH,zyGf,yux,sBP,XqzeBCIAcq,2.35809
1.51233,5.044,AljDEIXXr,3,1.73441,6.4551,1,6,OljxL,1.52,ryNNQtOYW,JGyV,4.72925,AzwpZ,3,1,2.4449,oSN,8,vUT
1.07586,KxXdFpK,4.4376,QhQI,Iv,4.8353,ajYr,2.78667,1,2,2.03,3.26945,4,iJaXV,1.5172,2,2,1.34,hCZyMxptcP,1
3.56582,1.02,5,3.61,1.06625,2,3.49,7.31811,1.742,1.64,1.37,eujS,2.92089,3,TVFE,1.06,2,qWv,4.72243,EVi
3.84139,mXYhvFg,3.4161,lyhE,fx,LTRPKYPL,3,2.70318,fiYad,jSG,USJRPUPhJ,2,MHlSH,4,1,3.45,1,AhV,8.21438,dVv
HEQT,5.557,SNSLJYvev,3,MV,7,2,9,1,2.58,AputIpLod,2,YccCX,3.60443,2.6491,ccwp,SAk,2.68,8,1.83724
2.6616,4.843,HxiWlOvDU,1,zA,7.7,yxUP,PTnfXVOClL,1,wLo,HIjrTuZSh,InRr,4,1,1,2.72,FHL,VDU,3.44281,tgd
3,3.116,EfxRXehrm,YVwM,1.04149,3,1,zeONngyHXT,Bcnro,1,5.75,1.57015,3,3.21196,3.0582,2,BGx,MFg,6,2.39574
1,dWUkYBA,cHbFqycod,DRSQ,1,4,2.35,CKYWpFZbge,1.777,1,3,1,4.20632,4,1.4031,EyfA,eJq,2.16,7.76878,1
iVPM,kgidvhu,tbvRmiZRM,MHIY,XV,4,VWKX,9.31321,1.448,2,5,3,fAHmp,2,1,2.53,2,2.94,7,HFR
2.23042,1.937,1.1131,1,Fc,7,3.52,8,4.118,DkA,1,2,CLHDo,2.33193,rYZh,2,ZCd,qfP,NtCvqjhQit,zTw
3,4.174,8.786,1,1.55386,6.9302,jthZ,5,3.832,1.45,3.67,3,1,OVBdK,1.4431,TePK,1.8315,1,4.32813,hzq
fMSE,4,NFeZwCmIY,USPG,Tk,3,QhkL,9,fkKrL,1.68,JrcfvkcfC,3,1,VBRsM,IDoC,2,1,1,lXjVLMGGYJ,2
2.32028,oyTtukp,8.5166,1,1,1.7707,1,dWTbYOtZrM,1,2.46,3,1,2,UcJFv,2.4776,MLzo,2.7794,GAk,EtDiltdnII,1.92756
1,4,6,iJvs,1,OZXOjyfE,1.72,7.97983,3,1.6,3.82,1,3,3.5903,3.9648,RQEm,oYF,jDQ,6.77133,vDd
1,2.527,2.4629,1,1,kmaNXLyW,1,bReRgTngoC,4.079,KFS,8,1,scXuJ,2.00005,OxYL,UpAu,1,1.6,8,2
kYGd,CDhTytl,cHvjRMrmv,LBdf,nP,RJLMTHkk,iFBK,7,1,RCM,6.39,LMdk,1,sTYnA,3,2.32,cWx,vmB,1.46483,1
1,4,7,1,AZ,7,2.71,4.72226,4.789,1,6,3,3.91044,4,3.3706,PZQN,2.8681,2,nGxULoiIqa,2.39631
3.09296,pVJvumz,6.4937,pPvc,Yw,FbzDSsAL,1,GdnSfZVugx,2.011,2,3.53,1.96743,3,3,3.2955,MNsK,2.5084,Hyn,qXxWraHfqe,JZg
nhri,fpefthL,IUlkfmdKT,3,1.22556,7,3.53,9.31658,2.324,1,eTDEvWZXX,UlZZ,xXVMU,RjILh,iGZF,1,2,1.53,cXZPJnCEci,1
3,6,5.5326,2.145,1.02499,1.8988,2,6.83294,tLSsc,1.31,2,2.91353,wJWnk,DPTuh,1,3,2,2.6,4,BkY
3,5,3.8127,SBtl,uQ,6.9449,3.85,fflzuaWHmz,2.028,1.06,CBlDsXyfy,EKdn,2,3,3,1,2,1,IIxccsNzRQ,lvs
IGYJ,bqBgJyg,tfcdBZYRh,qYIO,1,ScPHxghf,2.61,1.19419,3.204,1,5.05,PxQW,3,HDySh,2,2,2,2,xtzgwpwWPc,nDR
1.7881,sLTeEMl,2,1.484,GH,5.2661,1.93,gpNbCnVRRD,rERCF,2,tXdMumqjj,3.54178,2.88884,2.81325,3.4089,jxvV,Fop,gfa,8.90424,1.47587
1.30866,RaKPDRT,7.7347,3,1.74696,5,GDZw,3,1,1.68,kpLxVBxsM,1,3,3,1.7209,2.87,2.5508,foL,4,1.69567
2,XEEujKo,FGqfGdVRj,1.427,1,1.1511,2,CmIJvbjqux,2.653,UvZ,2.48,3.75582,WGFkE,4.83664,2,2.85,Urt,1,wgPVBbRGfT,2
zGKQ,3.525,3,2.368,IT,2.5461,3.82,1.7186,2,1,8.64,CFYr,2.75116,HcPtc,3.9647,3.32,2.0915,2.13,2,hDt
nLwp,3.869,4,cTvI,1,3,mOIk,coWoRjBQYx,3,2.54,6.68,bPJP,qmZTC,BLifw,3,2,2,2,9,1.41207
1,1,6,1.508,1,1,2.99,fsCuxWIHgW,1,1,2,2.09245,gJSZG,4.42543,3,rsXr,2.734,1,3,IcT
CPmU,PGISuKb,JIIJqoKma,2,1.69336,4,RPES,zpKucohePC,1,2,2.92,3,3.63954,tSQHp,1.0166,3,1.0811,1,3.00099,2
YvTK,nmSFofm,GNxsQQKQs,2,1,yhIEcKOt,3,lpnprjKggy,cUYkS,2,OrCqIgOMp,1.70621,Mqemz,4,nduO,1,2.8432,1.59,EDHOyKkrED,1.66057
Pdev,mbuyFwo,6.5392,2.851,AJ,6,1,1,tDEOg,1.0,dETsDPMNK,3,2,4,3,1.57,2.674,zkF,TOBvybYwRW,1.21514
1.76121,4.174,5.5294,2,1,3.1747,2.94,1,1.47,1.35,6,3,KtGVl,2.70087,rYSC,3,2.8539,1.19,5.44402,Dmk
SukF,3,7.0838,1,rQ,1.8845,1.06,VqsBZRPrPT,lTrYD,ScI,8.76,1,1,IeoIb,3.4035,2,1,fJz,4.29836,CVJ
2.55425,6,cVermkkai,1.481,kx,1,1.67,7,4.146,IuE,ACBAdCTai,2.77597,4,2.12737,3.6437,VTal,xtD,2.5,2.89797,DmE
3.12489,6,DYFXtSZEE,2,1,PaXfnAeZ,DHMn,7,1.634,1,7,2,1,4.03938,1,1.83,1.1057,HEF,2.49544,ibZ
LXLH,zlUiAWI,3.6798,NXBJ,1,MlpAghLp,3.75,6,1.72,1.95,wGwlpZlEG,3.68496,3,2.97732,Ecro,1,hOH,svc,5,2.26701
EJRx,3.029,1,Vzdw,1,4.1067,2,5,1,1.36,oPpLIBavP,1,JKAkv,4.57039,2.256,3,UOl,JMX,KsemnevUFX,mrC
2.43369,1.64,7.2712,tNUy,ix,UOWoRKtY,1.37,NwvhdOiaRD,2,2,8.46,1.78719,4,1.302,HMwF,3,1,1.49,2.96232,1
3,2,3.707,esEu,1.93327,2,2,5.80581,2,1,7.6,3,4.15902,NIIeH,SsxV,kQLT,yso,1,iihWKRGqRT,2.47445
2,1.012,6,kHti,1,6,3,RCpSenmnpx,2.386,2.21,yMUdZoAAP,sErW,4,2,3.8749,1,2.891,1,1.86743,1.98421
2,6.622,6.2948,1.162,sP,7.5007,QdMO,KhHmBYEGKi,1.623,1,TBXIMwOSE,clSM,2,2.7584,1,Wauz,2.0169,1.08,7,2
BBbG,2.583,6.3886,kurU,1,2.5101,2,2,4,2.44,8,gSOz,IfFMg,1,3,2.14,1.3797,2.84,1.90355,mIz
2.25127,2.794,jbXCbVtOk,1.641,1,1.3303,3,IqqmTUrzvB,vEzBk,2.23,TfbTPqzlm,1,3.46404,3.67079,KULk,FEdt,2,ygf,5,WZB
1,UfVPUpq,3,nBDq,1,3.8204,trIT,ylYysMgKSI,GXJQL,2,1.15,3.98453,1,rBiAy,1.7798,CkLB,QmR,2.62,NyIQXpgaRe,2
1.64266,6.387,2,3,1.79137,6,HhOM,9.01715,KzpbF,ref,1,1.60999,bZhwj,2.61603,3,3.34,1.504,2,7.95665,2
FUhi,wXShCto,uUfxhnjjs,2.891,1,3.3556,3.63,7.54708,4,2.35,8.45,HoFF,3.05661,2.91225,3,1,pPN,TMG,cVzKAsfRup,1
1.43605,6.796,5.6877,3,1.20763,DTYlCIxJ,3.09,8,1.324,2.93,1.09,1,4.94264,3,FGpJ,1.17,1.9705,aay,8.92217,2.72815
vkqx,2,5,qarI,1.71916,4,eypl,9.1784,2.599,2.31,XfFUTzxAq,Iftj,1,YKASO,3,2.63,1,2.64,8,2.01674
2.19404,3,OSTbwBxpn,1,1.02478,OAdKvHrD,BLwI,9.95135,3,nvk,5.28,2.18168,ytZCk,Otcmn,3.8941,DxLe,fQR,2.9,4.5234,yUq
3.32794,6.469,1.4061,1.692,1,1,3.95,ggUIuKRQsp,3,FwT,QzBLfvbhV,1,rKOQt,2.85668,1,pldK,JVu,1,sTnFxlgCkx,2
jDhJ,3,zpqStRxbD,1.884,1,7.0494,LwxC,3,2,1.69,5,2,lvmja,xnMfF,2,HYVl,1.5071,1,5,1
FwxP,VOuAuOV,6,3.486,1.68721,6,1.37,7,3,1,2.19,FAJc,xWQLo,zmtDm,CqKV,1.87,WzP,1.81,7,2.12034
gLaB,6.437,qSYnyvMlJ,pLcE,sy,AKUhHWNd,1,6.22417,EbLTo,2,7.54,3,ewngD,3,1.814,2.95,2,1.32,9.73398,2.43266
3,4,1,2.229,1,6,1.09,PAOQVVKRFy,1,2,BVHixRofR,2.90084,3,1.9575,3,1.34,2.9115,euE,TNMKbbvLcF,kUP
2.16369,VfOkoft,3,1,1.58856,YNBqaBMk,3.41,dNMLcxzZih,2.866,1.5,1.49,ntfx,1,EmmXu,3.1334,1.57,2.6876,1,wspQtnqphb,YDe
3,FKNAizo,iBWyBkUgi,1.928,1,1.9883,2.48,8.95898,4.221,wTl,RdCcOWVFP,QpWj,1.99094,daWxH,3.5873,dzUy,fSF,1,3,ZyF
3,4.499,7,1.787,1,1,3,1,YNzXF,2,6,3,1.61145,4.78744,QfCO,rDey,1,1,3,1.02856
2.67099,MGdeRzQ,pjIBlpFPK,1,1.94922,5.2382,1,wsMFUODzUp,1,2,1,UosM,2.98837,BXHCx,bEOU,aZzf,JfC,eXW,8,1
2.66048,qTbNrpK,4,1,eZ,4,3,fAPpJkwTZB,1.929,1,6.25,1,rLkIs,1.94875,rMlG,rXRv,KbQ,2.85,8.87233,bls
1.40434,2.333,2.4786,2.07,1.47481,2,2.08,KxnTVvsrIz,2.832,DFV,bCJiJxShK,3.83139,aejhh,4,3.2307,1,1.6601,2,pyVQLvYGXi,Zlg
3.81892,6.338,4.5201,3.521,QF,YBwCafgw,2.26,4.26671,KMFrD,Ref,SOjMCkoFl,2,2,1.65445,YNdV,vSyw,Pie,Upx,2,1
3,6,eeNjQyqGe,2,1,1.8049,iWXJ,oUthjsAXvW,3.268,ynb,YOsHIyjkn,3.92678,2,1,PcKy,2.12,1,Mdo,1,1.97525
veqm,FZIcCVz,5.1942,1,1,7.7625,fYbX,1,4,XSQ,SGxkhWVrN,3.81762,skSwD,2,FUsx,hOfD,1,1.17,VrIApbXLwM,1
bvGQ,pUtjRJP,4,OPNL,NI,hbCUXpja,2,aqbDHlGIKq,4.018,2,3,uJYN,4,1.82804,3.6587,3.27,WWv,edz,5.3098,YGg
3,6.267,5.6207,JWvu,1.16391,2.6667,1.33,xMYtkZGiie,3,tdG,8,3,3.13804,2,3.0089,qpXK,1.623,1.46,3.54504,1.39123
2,1,LLVzLJuYv,wQYA,1,4,1.56,7.36121,1.73,2.47,6.16,KtRB,LUZtK,2.22546,1,1,QKq,BIz,QMoRMzjHwB,1
3,cZfYnqr,6.6543,2.701,yx,gGVeCCkq,1,LlGmXynlmK,1.584,nER,ocNFdBEnP,1,xhUKW,vKNks,2.0924,1,2,2.37,7,UXV
CrCN,PVzhyUY,GZIFsSstt,3.334,Go,bmyxRMmV,Lmah,FSKfLtoUfm,1.069,2.2,dYumTnLTS,3.47927,UiADB,4.97158,1,2,1,vIV,2,1.84967
2.36038,5,NfXzruqgy,1,1.44887,6,1.74,7,2.275,2,PCEYRqSnf,1,NAVle,rcJTs,1,xksS,1.7128,XHQ,8,sLI
2.70651,1,6,1,KL,7.6114,MYIT,9.95865,1.141,DOq,6.97,1.42985,TSDeC,1.07557,2.4602,eZzz,1.214,2.94,3.11286,1
3,DwUUvpf,7.8189,2.67,Vb,3,2.19,5.83293,2,1,5.78,3.67951,2,tZMUu,stDS,2.93,Ctb,jWa,QivuyqsksW,MFT
3.4967,3,kuaBmfcGs,sabj,1.05653,2,lwiw,etgWGKoABN,Xlkkk,2,3.25,2,OLMfs,1,2,1,2.4915,Ary,8,2
1.88516,5,YfrqtSdUs,3.289,1,6.2663,3,NkloFsUiYn,3.006,swc,4,1,4,srzfy,DOvp,2.35,LbX,2.43,HdRoaVDNCm,2
1.0145,6,2.1196,zRiF,1.22362,3,2.2,RtQrsKOCAQ,4,2.77,AerqGooEt,MdOs,4.6311,1.17877,1.3421,3,noJ,NkK,5.64252,JXV
1,6.309,7,3,1.8623,2,1.25,7.002,3,2.14,wsRreeVvH,2.70652,ZAMml,2,2,Jlro,1,1,6.13871,lMC
ZAwy,2,4.9625,1.996,1,6.1872,3.41,1.80875,2,2,2,2,aGYcb,2.19193,abaA,1,1.1188,1.63,1.19609,1.08459
2,3,YqkrHIrSP,1.831,sV,fFqCjymK,2,1.16154,gcZmb,2.68,6,1,ZaUJT,1,2,2.2,2,1.52,ZwONamghJd,1.70533
3.26543,6.279,2,LPQY,bm,2,1.66,2.39166,2,kAk,6.14,1,2,2.33965,3,3,Yia,Udn,tnljRgRvLk,1.35931
2,BGdyrOe,5,2,1,7,1,5.81393,2.449,2.47,xibPLNDTB,2,FyxOx,eKNMd,3,2,2.3575,2.86,2,1.13454
1.71708,2.618,2.5839,dfTp,1,nXFhpilb,oQPl,nrlIBLOdqw,1.781,kOY,ocBWUqyup,3.96174,2.45044,ATxAW,3,EWAS,1.3378,1,1.6539,csF
3,LjHOtBf,6.8122,APAB,Oo,7,3,3.26742,4,2.02,8,RQHQ,4,KTMjt,2.8493,3,2,2.93,gzyaTetruI,1.73886
BEyc,svecueC,1.0343,2,yV,2.8049,TNbB,4.75504,2.397,XXl,WncBVAPTm,MNGB,3.72201,FszfE,2.5415,3,1.1024,Avn,4,1.06033
DEtF,3.975,llLALHFOg,1.895,1.59865,4,2.51,htujQDELLg,oGkVI,juM,1.84,3.82736,2,2.24229,1,CrSU,XNs,2,JszqQWePvp,1
NCnW,NoUmuzJ,1.1118,2,1,ObcemQgE,1,5.69126,3,1,LKSXJBCHw,2,QhuaT,GvUPf,3,pcPO,XGr,1,1,1.48877
FGpf,eaTblAU,7.4627,2,WD,2,3.58,ezhCbcYYBW,4,2,qrnCDrUMe,3,2,1.50522,vxWa,2.35,1.0645,1,3,1
1,lghEaOm,4,1.384,uz,5.5296,3.37,lNeWNgkYgB,jZqJi,1.18,2.11,1,dYVCm,4,1,1.48,2.85,2.83,7.6362,KvP
YfSk,6.439,WPYEdGFpa,1,1,3,1,1.83241,1,1,3.17,ZULF,fkxSo,2.56103,1.8093,MAWX,2.7218,gFc,2,2.7324
trdc,3.139,7,uxoT,1,pvpgrMic,3,sQdtsuWwmE,YEMME,ltR,ApjuoItMc,1,1,3.74137,3,LGBj,1.1341,2.56,9.11696,1
3,3,8.4346,2.852,pu,4,2,RzItckqlPP,1.433,UeM,5.43,1,1.32919,1.84907,2,3.33,1,TUU,1,2
MjRe,JNphPGZ,3.9668,3,hO,EZcdnFrY,tjdB,5.26839,1,2.94,8,pEHJ,2,4,1,aHRH,NkF,1,4,1.04704
2,3,8,2,1.9158,5.3771,3.13,1,3,2,kyIEgAnKo,3.1076,2,3,wIjq,3.7,xzE,aBO,6.33378,1
1,6.724,jUCjOndVW,ZUVU,1,4,3.75,8.15167,2.149,1,5,2,RKowp,1,1.118,2.98,Ozu,pbz,8,bXm
3,5,6.4054,2.141,1,2.0916,2.06,ZRqQofqGlW,KYczQ,iTT,1,3.84952,2.7959,4,1.8572,3,dIt,2.08,9,ATh
2,3.021,wEwdyAIUY,1,on,4,BnvE,4.72916,1.634,1.64,2.89,3.6689,1.44394,Lskrw,1,3.92,2.9523,GEe,2,1.05082
3.53933,gUlhrAI,6.6483,AnfO,1.81928,2.0002,3,7,wmnxC,2.07,5,1,3.27017,tOsgE,Wpdh,Kbdo,2.367,gUL,UgfrYdGXES,1.30772
pyBN,4,1.3919,1.191,gj,2.531,ckfs,6,2.845,UIv,pljYGGvgO,DPvH,4,3,1,3.56,2,1.62,3,2.50344
ByGs,JkYiiPu,gdlumZvZQ,LkRO,1.06097,6.9086,HsxR,UDzPxndIfg,1,2.89,1.29,3,4.07734,cNmYm,1,3.2,oKw,PrJ,1,QkX
GSDC,4,8.1029,aoWa,1.12552,MemxSbmI,UbAl,6,tGGyR,1,WTskzDTix,2.09956,2,2,YvYx,2.61,hYI,MPR,4.67016,2
vLCX,1.404,7.0632,1,hz,1.4276,1,7,AGCvj,2,KxLFemMKJ,fMeJ,2,4,3.6996,MOeG,1.9199,WeV,3,2.16315
1,3,BZywgCqbR,1,Kb,7.3864,1,1,3.654,ZNX,6,Tquc,1.47215,1,2.0112,2,2.1367,1,3,1
1,ZsTGctP,1,2.426,1,onUWUQxE,fBly,3,3,2.33,EtoUrtHWv,3,1,4.84626,3,IMsV,1.2989,2.18,bhFZBhZrlU,2
LGFO,HYKYsGD,8.5895,2.684,Xs,5.7945,vStu,1.09014,4,TAw,8,2.59245,OBJcT,4.19058,nlgS,2,1,2.81,ConBfwwRJe,1
2,3,bKoOlBlMT,1.255,1.45659,5,2.3,vJJdPlDWkv,4.909,2,6.49,1.55972,1,1.61977,uLSl,mbQJ,KYF,dwg,4,ylx
3,bRbYDWr,3.7566,lqBd,PU,EUKjRgFH,3,4.21815,HrnSZ,1.33,6.78,UFib,3.20727,4.05391,ozGT,1.04,1.8093,1,vbXVHWUPlb,1.51476
1,MLcgDjW,1.1283,1,1,7.1141,1.85,jWRyNCDhDC,4.732,2.03,CgRlFCCNu,2.76209,Vvirl,3.64921,wxci,CrLi,1,1,4,1
2,5.63,7,3.812,1,5.8267,InfB,IzUwEsDiWq,2.476,1.62,GhhXmjfZY,3.92516,2,1.06695,rMME,1.05,OmB,1.19,lDHOpziRmQ,DNX
EZZB,BsKDuuw,8,WwJp,1,6.2556,XtNK,3,uiOhU,1,4.51,2.27869,2.60531,2.41311,BoMu,1,2.3275,1,5,LLc
nnGY,iFEhqSl,3.05,3,1.35781,7,Xiyx,QIQCiNJHCN,4,2.14,7.9,1,DjqYV,1,1,oYUU,KIP,2,4.76616,paN
rUkJ,kDFKcTQ,KkgGHlpyp,bQci,1,1.0991,2,8.26262,lwmaz,1,1.24,ITaS,3,XBXzt,wdww,2,2,TSX,gYuXksVvIC,ASN
